Year completed,Date Completed,Project Code,Project Name,Regional Economic Development Council,NYISO Zone,NY State County,NY Region,Customer,Agency,Project category,Facility Description,Number of Facilities,Total Project Cost,First Year Bill Savings,Demand Reduction (KW),Electric Energy Reduction (kWh),Gas Savings (Therms),Oil Savings (Gallons),Steam Savings (M Lbs),Digester Gas Savings (CCF),Coal Savings (Tons),Equivalent Barrels of Oil Saved,Reduction in Greenhouse Gas Emissions (Tons),Renewable Energy (KW),Address,Address Ext,City,State,Zip,Project or Program description
2014,11/27/2014,ES-GSN-0149,"NYC DEP - ADG Upgrade (Red Hook, Hunts Point, Oakwood Beach, 26th Ward)",New York City,J - New York City,KINGS,Southeastern,NYC DEPT OF ENVIRONMENTAL PROTECTION,NYC Department of Environmental Protection,Energy Efficiency - Wastewater Equipment,"Sewage Treatment, Landfill, and Water Supply Facilities",4,38520765,729886,0,2408240,-173234,390355,0,-114448454,0,12656.96,3773.491,0,26th Ward,12266 Flatlands Ave,Brooklyn,NY,11270,"Replace existing inefficient digester gas distribution system with a new energy efficient distribution system, which will provide increased operating efficiency. This improved efficiency will result in a reduction of natural gas and fuel oil consumption due to the increased usage of digester gas. Rehabilitation work for the digester gas systems at Hunts Point, Red Hook, 26th Ward and Oakwood Beach wastewater treatment plants, to optimize the use of anaerobic digester gas produced at each plant. This project is a continuation of the Power Now Emission offset settlement (fuel cell installations at these four wastewater treatment plants in 2002 and 2003). The project will upgrade the efficiency of the digester gas system so more anaerobic digester gas can be generated for the fuel cells, and prevent the burning of natural gas."
2014,11/27/2014,ES-ESN-0313,SUNY Upstate Medical University - Phase 2,Central New York,C - Central,ONONDAGA,Central,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,3,4815354,278034,160,1612180,-12675,0,6321,0,0,4436.172,505.8545,0,750 East Adams Street,,Syracuse,NY,13210,"Preliminary scope: Energy efficient lighting, lighting sensors and controls, HVAC upgrades, electric motor replacments, and EMS upgrades"
2014,11/12/2014,ES-GSN-0597,PS-81K (Thaddeus Stevens School),New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,1174866,51636,76.7,274140,0,0,0,,0,634.0345,79.21933,0,990 Dekalb Avenue,,Brooklyn,NY,11206,"Upgrade lighting, install occupancy sensors, removal of any asbestos and PCBs."
2014,11/07/2014,ES-ESN-0520,OGS Binghamton/TenEyck/Hampton Plaza ASHRAE Level 2 Audit,Multiple,,MULTIPLE,Multiple,"State of New York (OGS, SUNY, all state agencies)",NYS Office of General Services,Energy Audit / Feasibility Study,"County, Municipal, & State Government Offices",3,133650,0,0,0,0,0,0,,0,0,0,0,Statewide,,Albany & Binghamton,NY,12207 & 13901,"The scope of work for this project includes the development of an ASHRAE Level 2 Audit at the Binghamton, Ten Eyck, & Hampton Plaza OGS Buildings."
2014,10/27/2014,ES-GSN-0642,NYCT - Jackie Gleason Bus Depot Solar Thermal Project,New York City,J - New York City,KINGS,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Renewables - Solar Thermal,"Transit Terminals, Bus and Train Depots, Airports",1,219398,28330,18,73180,8660,0,0,,0,322.8903,67.14038,0,871 5th Ave,,Brooklyn,NY,11232,Install solar thermal hot water system.
2014,10/16/2014,ES-GSN-0685,NYCT - 3rd Rail Heater Wireless Controls - Ph.III,New York City,J - New York City,NEW YORK,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - Comprehensive,"Subway Platform, Track Signals and Tunnel Lighting",1,2429285,546543,178.4,9383706,0,0,0,,0,21700.54,2711.647,0,38th Street 3rd Rail Yard,,Brooklyn,NY,11201,"Phase III: install a wireless control network to remotely activate 3rd rail heaters from a central location (38th Street Yard - Brooklyn). The operational state and status (such as current, voltage, on/off, radio strength, etc.) of rail heaters will also be monitored by the wireless controls."
2014,10/16/2014,ES-GSN-0270,"NYCT - Subway Signal Compressor, Ph.2 - Group 2",New York City,J - New York City,NEW YORK,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - Comprehensive,"Transit Terminals, Bus and Train Depots, Airports",1,5046159,625278,800.1,7672330,0,0,0,0,0,18587.15,2217.104,0,Multiple Sites,,New York City,NY,,Preliminary scope: Installation of energy efficient air compressors for subway systems.
2014,10/07/2014,ES-ESN-0448,SUNY Buffalo - Governors Dorm,Western New York,A - West,ERIE,Western,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,1,2193997,98082,6.6,997838,11480,0,0,,0,2505.583,194.9171,0,479 Red Jacket Quadrangle,,Buffalo,NY,14261,"The scope of work for this project includes the installation of thermostatic controls, infrared heaters, high efficiency lighting, burner controls, and low-flow water fixture"
2014,09/30/2014,FS-ES-GSN-7040,City of Yonkers - City Hall Window Replacement - ARRA Funded,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,"YONKERS, CITY OF",,Energy Efficiency - Comprehensive,"County, Municipal, & State Government Offices",1,2589409,17267,0,27677,6350,0,0,0,0,173.4086,41.72278,0,40 South Broadway,,Yonkers,NY,10701,"Replace all 272 wood, single pane windows with high performance mahogany wood windows that have double pane, low E glass.  City Hall is a Renaissance Revival style architecture with decorative exterior work and several elaborately designed interior rooms.  As such, the building is eligible for placement on the National Register of Historic Places.  Because of this status, the window replacement will be done in cooperation with and under the guidance of the New York State Historic Preservation Office."
2014,09/30/2014,ES-GSN-0702,CUNY City College of New York Ph.1 - Control Valve Replacement,New York City,J - New York City,NEW YORK,Southeastern,CITY UNIVERSITY OF NEW YORK,City University of New York,Energy Efficiency - HVAC,Colleges and Universities,8,4905832,299179,0,2249470,0,0,0,0,0,5202.018,650.0383,0,160 Convent Ave,,New York,NY,10031,"Replacement of all air handling unit chilled water coil control valves across the chilled water distribution system with new pressure independent control valves. This scope of work impacted 9 buildings, including Aaron Davis Hall, Baskerville Hall, Compton & Goethals Hall, Harris Hall, New Admin Building, North Academic Center (NAC), Shepard Hall, Steinman Hall, and Wingate Hall. This project also included the installation of 3 new tertiary pumps and associated VFDs in Steinman Hall. All associated controls were tied back to the automated logic control panel at the central plant."
2014,09/30/2014,ES-GSN-0433,"DCLA - Bronx Zoo - Lighting, Motors, and VFDs",New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Cultural Affairs,Energy Efficiency - Comprehensive,"Aquariums, Parks, Zoos and Nature Centers",1,1710438,229837,212.26,1747810,0,0,0,0,0,4041.914,505.0717,0,2300 Southern Boulevard,,Bronx,NY,10460,"Lighting, motors and VFDs"
2014,09/30/2014,ES-GSN-0425,DCLA - New York Hall of Science,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Cultural Affairs,Energy Efficiency - Comprehensive,"Arenas, Armories, Convention Ctr, Museums, Halls",1,690764,61720,90.43,390700,0,0,0,0,0,935.931,112.9021,0,47-01 111th Street,,Corona,NY,11368,Upgrade lighting with energy efficient lighting equipment
2014,09/30/2014,FS-ES-GSN-7049,DSNY - Betts Ave - Boiler (ARRA),New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Sanitation,Energy Efficiency - Boiler/Chiller,"DPW and Sanitation, Garage, Vehicle Maintenance Shop",1,764996,48175,0,0,28170,0,0,0,0,485.6896,149.6109,0,57-73 53rd Avenue,,Queens,NY,11377,"Summer Boiler installation, and installation of energy efficient steam generator"
2014,09/30/2014,ES-GSN-0550,"FDNY - Eng. Co. 264, 265, 266, 268 and 329 - Solar Thermal",New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Fire Department,Renewables - Solar Thermal,"Police Precincts, Fire Stations",1,486762,3492,1361,795226,33461,0,0,0,0,2415.914,407.511,0,16-15 Central Ave,,Queens,NY,,Retrofit existing hot water heating system with solar thermal systems.
2014,09/30/2014,ES-GSN-0673,IS-218K (James P. Sinnott School),New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,1290520,50225,114.7,366810,0,0,0,0,0,848.2931,105.9986,0,370 Fountain Avenue,,Brooklyn,NY,11208,"Lighting upgrades, wireless vacancy sensors, and steam trap replacement"
2014,09/30/2014,ES-GSN-0592,IS-302K (Rafael Cordero MS) - Lighting and Motors,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,1724063,96730,141.8,631301,0,0,0,,0,1460.002,182.4296,0,350 Linwood Street,,Brooklyn,NY,11208,"Lighting, occupancy sensors, premium efficiency motors, asbestos/PCB abatement"
2014,09/30/2014,ES-GSN-0616,IS-33K (Mark Hopkins Intermediate School) - Lighting,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - LED Lighting,"Schools, Elementary and Secondary",1,1283317,47966,85.67,313130,0,0,0,,0,724.1897,90.48643,0,70 Tompkins Avenue,,Brooklyn,NY,11206,"Lighting, occupancy sensors, PCB/Asbestos abatement."
2014,09/30/2014,ES-GSN-0378,New York Botanical Garden - Watson Library Complex,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,New York Public Library,Energy Efficiency - Comprehensive,Libraries,1,1115374,39120,18.5,275530,0,0,0,0,0,637.1207,79.62101,0,Southern Blvd. at 200th St.,,Bronx,NY,10461,"Installation of new energy efficient chillers, chilled water controls and sensors, HVAC demand ventilation controls and air-handling unit upgrades."
2014,09/30/2014,ES-GSN-0617,NYC Dept of Parks - Flushing Meadows Park - Biomass Boiler Plant - Design Only,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Parks,Design Services,"Aquariums, Parks, Zoos and Nature Centers",1,203959,0,0,0,0,0,0,,0,0,0,0,Flushing Meadows Corona Park,125-40 Roosevelt Ave,Flushing,NY,11355,"Construction of a Biomass Plant which will utilize about 7,500 tons per year of woody biomass to produce high pressure steam through a 200 BHP Biomass boiler.  This steam will be fed into a turbine generator which will produce 109kW of net electricity to be used by the plant and the building.  The waste steam will be used to fulfill any thermal loads of the building in the form of domestic hot water, space heating and pool heating.  The waste steam will also be sent to a 200 ton Absorption chiller which will produce chilled water to be used by dehumidification units that serve the pool."
2014,09/30/2014,ES-GSN-0438,SUNY Maritime - Solar Thermal Hot Water Heating System,New York City,J - New York City,BRONX,Southeastern,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Renewables - Solar Thermal,Colleges and Universities,3,2685394,200921,0,-34110,0,30866,0,0,0,776.5517,306.2412,0,6 Pennyfield Ave,,Bronx,NY,10465,Installation of solar thermal systems for domestic hot water heating.
2014,09/30/2014,ES-GSN-5017,SUNY Purchase - Ph.VIII - Neuberger Museum,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - HVAC,Colleges and Universities,1,10494986,107198,25,681530,31445,0,0,0,0,2118.328,363.9489,0,735 Anderson Hill Road,,Purchase,NY,10577,"Upgrade existing HVAC equipment, with the installation of 76 variable air volume mixing boxes to replace constant air volume mixing boxes, and installation of three (3) new HVAC units to replace the existing HVAC units"
2014,09/26/2014,ES-ESN-0191,BOCES - Washington-Saratoga-Warren-Hamilton-Essex,Capital District,F - Capital,SARATOGA,Central,BOCES,,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",10,3848614,178236,2428.5,1206925,139,0,0,0,0,2793.491,162.7522,50,1153 Burgoyne Avenue,Suite 2,Fort Edward,NY,12828,Old inefficient HVAC units will be replaced with new energy efficient units. Upgrade of the Energy Management System in various buildings to monitor and control HVAC equipment. Replace inefficient boiler with new energy efficient boiler which would provide increased operation efficiency.
2014,09/26/2014,ES-GSN-0564,WC Norwood E. Jackson Correctional Facility - Valhalla - Cooling Tower,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,"WESTCHESTER, COUNTY OF",,Energy Efficiency - Boiler/Chiller,Prisons and Correctional Facilities,1,2102250,47989,0,271296,0,0,0,0,0,627.4138,78.39749,0,10 Woods Rd,,Valhalla,NY,10595-1529,Replacement of cooling tower at the WC correctional facility in Valhalla. Scope includes removal of existing 2700 ton cooling tower and replace with new 3000 ton. Remove three (3) existing cooling tower motors and replace with premium efficiency motors. Incorporate variable frequency drives (VFD's) to manage the speed of the cooling tower fan motors. Improve chiller operating efficiency by adjusting condenser water temperature based on outside air temperature. Install chilled water pumps and piping for the connection of air distribution equipment to chilled water system.
2014,09/25/2014,ES-ESN-0441,Corinth Central School District,Capital District,F - Capital,SARATOGA,Central,CORINTH CSD,,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",2,3063908,169345,44,227670,0,43457,0,0,0,1648.052,475.604,50,105 Oak Street,,Corinth,NY,12822,"Controls upgrades, boiler replacement, solar PV system, lighting upgrade, occupancy and daylight sensors, vending machine misers (equivalent of occupancy sensors),  weatherization."
2014,09/25/2014,ES-GSN-0136,NYPD - Forensic Investigation Division Lab - HVAC,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency - HVAC,"Police Precincts, Fire Stations",1,6923125,286312,131,1834444,42209,0,0,0,0,4970.076,754.2786,0,150-14 Jamaica Avenue,,Jamaica,NY,11432,Replace existing chillers with energy efficient chiilers. Replace existing motors with premium efficiency motors. Install gas-fired efficient domestic hot water heater. Replace two air handler units. Upgrade facility elelctrical service to accomodate new equipment. Integrate new equipment into existing facility building automation system.
2014,09/24/2014,ES-ESN-0392,SUNY Brockport - Phase 5,Finger Lakes,B - Genesee,MONROE,Central,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,5,5207414,215425,241,2154300,46917,0,0,0,0,5790.862,538.363,50,350 New Campus Road,,Brockport,NY,14420-2914,"The scope of work for this project includes campus-wide HVAC upgrades, large electric motor replacements, elimination of single-pass water-cooled loops by closing loops and installing air-cooled condensers, interior and exterior lighting upgrades and controls, and installation of a 50 kW roof-mounted solar PV system and campus-wide electric metering."
2014,09/22/2014,ES-GSN-0586,PS-54X,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,748847,47021,32.4,304190,9271,0,0,0,0,863.2638,137.1413,0,2703 Webster Ave,,Bronx,NY,10458,"Lighting and Controls, BMS Upgrades and Commissioning, Thermostats, VFD s, Metering."
2014,09/16/2014,ES-ESN-0420,Greater Amsterdam School District - Pool Heating,Mohawk Valley,F - Capital,MONTGOMERY,Central,AMSTERDAM CITY SCHOOLS,,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,435194,24320,1.68,6790,22034,0,0,0,0,395.6724,117.934,6,140 Saratoga Ave.,,Amsterdam,NY,12010,"Install a new pool heating system to include an automatic pool cover,  new high efficiency boilers and solar thermal collectors. Install a 6 KW Photovoltaic solar array on the roof to offset district electrical energy costs."
